,Name,Link,Year,Publisher,Platform
165,shin seiki gpx: cyber formula,https://www.uvlist.net/game-103303-Shin+Seiki+GPX+Cyber+Formula,1999,Map,PS
166,shin seiki gpx: cyber formula - aratanaru chousensha ,https://www.uvlist.net/game-103304-Shin+Seiki+GPX+Cyber+Formula+Aratanaru+Chousensha,1999,Map ,PS
167,shin senki vangale ,https://www.uvlist.net/game-109853-Shin+Senki+VanGale,1997,Aroma,PS
168,shin shikoutei,https://www.uvlist.net/game-109854-Shin+Shikoutei,1997,Shangri-La,PS
169,shin super robot taisen ,https://www.uvlist.net/game-109855-Shin+Super+Robot+Taisen,1996,Banpresto ,PS
170,shin super robot taisen special disk ,https://www.uvlist.net/game-184009-Shin+Super+Robot+Taisen+Special+Disk,1997,Banpresto,PS
171,shin theme park,https://www.uvlist.net/game-109856-Shin+Theme+Park,1997,Electronic Arts,PS
172,shin theme park,https://www.uvlist.net/game-165091-Shin+Theme+Park,1997,Electronic Arts,Saturn
173,shin wa den ,https://www.uvlist.net/game-158716-Shin+Wa+Den,1994,Great,NEC PC9801
174,shin yakin byoutou ,https://www.uvlist.net/game-278093-Shin+Yakin+Byoutou,2011,M no Violet,Windows
175,shin-chan 3ds,https://www.uvlist.net/game-188951-Shin+Chan+3DS,?,? ,3DS
176,shine,https://www.uvlist.net/game-211057-Shine,1996,BMG Interactive Entertainment,Win3.1
177,shine,https://www.uvlist.net/game-252461-Shine,1996,BMG Interactive Entertainment ,Mac OS Classic
178,shine runner,https://www.uvlist.net/game-190172-Shine+Runner,2012,Vector Unit ,iOS
179,shine runner,https://www.uvlist.net/game-245552-Shine+Runner,2002,Vector Unit,Android
180,shiness,https://www.uvlist.net/game-245553-Shiness,TBA,Ynnis Interactive,Xbox One
181,shiness: the lightning kingdom,https://www.uvlist.net/game-208819-Shiness+The+Lightning+Kingdom,2016,Enigami,Linux
182,shiness: the lightning kingdom,https://www.uvlist.net/game-245554-Shiness+The+Lightning+Kingdom,2017,Focus Home Int. ,PS4
183,shingakkou banchou ,https://www.uvlist.net/game-245555-Shingakkou+Banchou,2011,Pil,Windows
184,shingata kururin pa! ,https://www.uvlist.net/game-109857-Shingata+Kururin+Pa,1996,Think ,PS
185,shingata kururin pa! ,https://www.uvlist.net/game-165092-Shingata+Kururin+Pa,1996,Sky Think System,Saturn
186,shingata medarot - kabuto version,https://www.uvlist.net/game-184683-Shingata+Medarot+Kabuto+Version,2004,Natsume;Imagineer,GBA
187,shingata medarot - kuwagata version,https://www.uvlist.net/game-184684-Shingata+Medarot+Kuwagata+Version,2004,Natsume;Imagineer,GBA
188,shingeki no kyojin 2 ,https://www.uvlist.net/game-238655-Shingeki+no+Kyojin+2,2018,Tecmo Koei,PS Vita
189,shingen,https://www.uvlist.net/game-4342-Shingen,?,?,Arcade
190,shingen the ruler ,https://www.uvlist.net/game-8197-Shingen+the+Ruler,1989,Hot-B ,NES
191,shinigami kagyou ~kaidan romance~ ,https://www.uvlist.net/game-275310-Shinigami+Kagyou+Kaidan+Romance,2013,QuinRose,PSP
192,shinigami no testament ~menuet of epistula~ ,https://www.uvlist.net/game-250104-Shinigami+no+Testament+menuet+of+epistula,2012,3rdEye,Windows
193,shining ark,https://www.uvlist.net/game-219715-Shining+Ark,2013,Sega ,PSP
194,shining armour,https://www.uvlist.net/game-110602-Shining+Armour,2002,Natomic Studios,Windows
195,shining blade ,https://www.uvlist.net/game-184679-Shining+Blade,2012,Sega,PSP
196,shining flower: hikaruhana,https://www.uvlist.net/game-211559-Shining+Flower+HikaruHana,1993,The Voyager Company,Mac OS Classic
197,shining force ,https://www.uvlist.net/game-10212-Shining+Force,1992,Sega ,Mega Drive
198,shining force ,https://www.uvlist.net/game-230736-Shining+Force,2004,Sega,Windows
